CUSTOMER_ID,FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,GENDER,EMAIL,PHONE,ADDRESS,CITY,STATE,ZIP_CODE
CUST1001,Michael,Brown,1942-05-10,M,michael.brown206@example.com,(271)-900-6734,6365 Pine Ave,Columbus,MI,54131
CUST1002,Linda,Davis,1962-10-14,F,linda.davis408@example.com,(969)-543-7949,2533 Maple Rd,Chicago,CA,63707
CUST1003,Elizabeth,Garcia,1957-07-06,F,elizabeth.garcia956@example.com,(760)-674-3558,7949 Maple Rd,New York,OH,76803
CUST1004,William,Williams,1949-09-26,M,william.williams746@example.com,(220)-366-6393,8892 Maple Rd,Austin,NC,86552
CUST1005,Elizabeth,Jones,2001-12-05,M,elizabeth.jones554@example.com,(627)-708-1775,8326 Main St,Miami,TX,79479
CUST1006,Patricia,Johnson,1942-10-18,F,patricia.johnson665@example.com,(305)-971-8989,9792 Oak St,Charlotte,TX,47065
CUST1007,Patricia,Davis,1960-11-20,M,patricia.davis351@example.com,(901)-495-8892,6963 Cedar Blvd,Austin,IL,96807
CUST1008,Elizabeth,Martinez,1998-02-28,F,elizabeth.martinez479@example.com,(692)-240-6276,2162 Cedar Blvd,Sacramento,GA,50774
CUST1009,William,Davis,1945-07-20,F,william.davis571@example.com,(262)-338-6618,6836 Pine Ave,New York,CA,22666
CUST1010,Robert,Hernandez,1956-12-06,F,robert.hernandez234@example.com,(400)-979-4104,7315 Cedar Blvd,New York,MI,20965
CUST1011,John,Smith,1980-12-04,M,john.smith561@example.com,(842)-968-2028,7485 Pine Ave,Atlanta,NC,33419
CUST1012,John,Miller,1963-12-21,M,john.miller195@example.com,(933)-684-8574,6474 Cedar Blvd,Miami,OH,85450
CUST1013,John,Garcia,2001-01-19,F,john.garcia781@example.com,(756)-773-3693,3727 Maple Rd,Charlotte,OH,25707
CUST1014,William,Miller,1943-07-30,F,william.miller732@example.com,(827)-944-8526,9001 Pine Ave,Atlanta,IL,23545
CUST1015,Linda,Garcia,1988-12-13,M,linda.garcia791@example.com,(312)-696-7585,1391 Oak St,New York,CA,77172
CUST1016,James,Davis,1986-10-08,M,james.davis101@example.com,(841)-419-1854,8264 Main St,Sacramento,NY,56717
CUST1017,Mary,Jones,1989-07-13,F,mary.jones771@example.com,(909)-615-5931,3610 Pine Ave,Detroit,CA,35342
CUST1018,Jennifer,Davis,1961-11-30,F,jennifer.davis709@example.com,(397)-710-7287,8900 Main St,Philadelphia,NY,59811
CUST1019,Patricia,Williams,1945-06-09,M,patricia.williams246@example.com,(347)-910-2843,8780 Main St,Detroit,OH,21111
CUST1020,James,Martinez,1958-02-11,F,james.martinez250@example.com,(614)-497-1262,6387 Oak St,Atlanta,FL,87371
CUST1072,James,Johnson,1954-11-06,F,james.johnson751@example.com,(652)-236-8158,7500 Pine Ave,New York,NY,14499
CUST1064,Linda,Garcia,1973-05-10,F,linda.garcia686@example.com,(824)-619-5199,8545 Pine Ave,Atlanta,NY,12200
CUST1039,Mary,Johnson,1972-10-08,F,mary.johnson262@example.com,(919)-880-9352,5799 Main St,Chicago,FL,68871
CUST1027,Linda,Miller,1943-05-03,M,linda.miller739@example.com,(232)-887-5555,9246 Pine Ave,Philadelphia,OH,27429
CUST1022,Jennifer,Garcia,1949-05-29,M,jennifer.garcia537@example.com,(975)-482-1225,4993 Main St,Sacramento,IL,50764
CUST1098,John,Brown,1952-09-16,F,john.brown148@example.com,(711)-216-8339,9535 Cedar Blvd,Chicago,PA,57202
CUST1086,William,Jones,1991-03-25,M,william.jones596@example.com,(501)-380-1606,3270 Maple Rd,Sacramento,FL,75726
CUST1079,Robert,Miller,1988-02-06,F,robert.miller422@example.com,(327)-217-2816,5954 Oak St,New York,MI,61885
CUST1049,Linda,Johnson,1960-05-30,M,linda.johnson953@example.com,(862)-838-1154,1509 Oak St,Sacramento,MI,88069
CUST1057,Michael,Hernandez,1992-07-16,F,michael.hernandez966@example.com,(607)-724-7971,5725 Main St,Miami,FL,12368
CUST1054,Linda,Williams,2002-12-19,M,linda.williams191@example.com,(553)-926-1853,4246 Main St,Charlotte,PA,65609
CUST1091,Elizabeth,Garcia,1967-02-15,F,elizabeth.garcia937@example.com,(982)-253-3491,3224 Maple Rd,Chicago,OH,97235
CUST1043,Jennifer,Brown,1951-05-05,M,jennifer.brown922@example.com,(855)-468-5465,735 Oak St,New York,CA,83847
CUST1058,John,Hernandez,1979-01-18,F,john.hernandez840@example.com,(673)-316-6949,2938 Main St,Chicago,CA,76617
CUST1046,Elizabeth,Smith,1976-09-15,F,elizabeth.smith217@example.com,(759)-800-8404,3443 Cedar Blvd,Columbus,IL,69638
CUST1073,John,Hernandez,1944-08-06,M,john.hernandez185@example.com,(896)-484-6188,2241 Maple Rd,Chicago,NC,45247
CUST1037,Robert,Miller,1952-03-10,M,robert.miller861@example.com,(721)-957-3849,7490 Oak St,Charlotte,NY,19823
CUST1085,James,Davis,1966-02-13,M,james.davis615@example.com,(215)-991-9527,5978 Oak St,Sacramento,FL,28071
CUST1092,Mary,Williams,1946-08-24,M,mary.williams790@example.com,(626)-812-6387,8102 Main St,Sacramento,MI,79449
CUST1078,Mary,Williams,1945-09-13,M,mary.williams948@example.com,(289)-975-7748,9917 Oak St,New York,GA,30358
CUST1089,Patricia,Hernandez,1955-09-24,M,patricia.hernandez174@example.com,(612)-575-8587,828 Cedar Blvd,Atlanta,FL,54425
CUST1029,Robert,Martinez,1948-02-15,F,robert.martinez838@example.com,(888)-298-5079,1671 Oak St,Sacramento,OH,44911
CUST1034,Linda,Miller,1960-02-22,F,linda.miller136@example.com,(979)-568-4766,5744 Main St,New York,GA,65069
CUST1088,James,Smith,1979-06-02,F,james.smith979@example.com,(928)-541-5492,798 Pine Ave,Sacramento,FL,26779
CUST1069,William,Williams,1951-06-03,M,william.williams554@example.com,(995)-917-3782,5046 Oak St,Chicago,IL,99112
CUST1050,Patricia,Jones,1960-12-12,M,patricia.jones250@example.com,(343)-768-2062,2256 Cedar Blvd,Charlotte,NC,21174
CUST1052,Elizabeth,Jones,1954-08-09,M,elizabeth.jones334@example.com,(857)-950-7731,7341 Oak St,Sacramento,PA,11542
CUST1084,Linda,Hernandez,1992-03-13,F,linda.hernandez616@example.com,(228)-364-6541,9680 Main St,Philadelphia,FL,67854
CUST1045,Michael,Martinez,1943-08-17,F,michael.martinez903@example.com,(269)-451-4486,1910 Cedar Blvd,Philadelphia,OH,35289
CUST1071,Elizabeth,Williams,1982-05-25,M,elizabeth.williams272@example.com,(852)-953-4709,9373 Maple Rd,Detroit,GA,52918
CUST1062,James,Williams,1967-11-23,F,james.williams289@example.com,(704)-390-2531,7676 Main St,Philadelphia,IL,77641
CUST1090,Robert,Garcia,1970-02-15,M,robert.garcia775@example.com,(426)-858-7190,1356 Main St,Sacramento,IL,78866
CUST1030,Michael,Martinez,1959-06-24,F,michael.martinez429@example.com,(935)-983-6063,8649 Maple Rd,Detroit,IL,39703
CUST1055,Elizabeth,Brown,1950-03-08,F,elizabeth.brown415@example.com,(377)-739-5964,4935 Pine Ave,Philadelphia,CA,48088
CUST1038,James,Jones,1947-08-11,F,james.jones657@example.com,(746)-452-6713,7126 Cedar Blvd,Atlanta,TX,75545
CUST1021,Linda,Johnson,1954-01-11,M,linda.johnson900@example.com,(573)-264-3193,8515 Main St,Chicago,NC,14158
CUST1060,William,Garcia,1959-01-31,M,william.garcia788@example.com,(660)-809-8266,8802 Main St,Chicago,OH,39189
CUST1419,James,Jones,1966-12-30,F,james.jones870@example.com,(636)-222-8140,3736 Cedar Blvd,Charlotte,NC,63330
CUST1404,James,Jones,2002-12-05,F,james.jones100@example.com,(250)-884-1716,8039 Main St,Sacramento,MI,46187
CUST1490,Linda,Miller,1979-09-02,F,linda.miller773@example.com,(637)-317-1770,4463 Main St,Philadelphia,IL,34285
CUST1224,William,Smith,1997-10-11,M,william.smith402@example.com,(406)-428-7996,4773 Pine Ave,New York,OH,91317
CUST1189,Mary,Garcia,1966-01-25,F,mary.garcia949@example.com,(997)-534-8002,1431 Main St,Philadelphia,CA,52318
CUST1211,Michael,Hernandez,1968-04-03,M,michael.hernandez896@example.com,(337)-383-4472,5549 Main St,Miami,MI,83477
CUST1174,Robert,Johnson,1951-10-10,F,robert.johnson846@example.com,(242)-951-2906,6354 Main St,Columbus,OH,90719
CUST1194,Jennifer,Davis,1974-08-17,F,jennifer.davis795@example.com,(480)-394-2887,3366 Pine Ave,Austin,NC,21314
CUST1470,John,Jones,1998-11-20,F,john.jones703@example.com,(881)-733-7981,6476 Maple Rd,Charlotte,TX,91818
CUST1320,William,Hernandez,1968-09-18,M,william.hernandez220@example.com,(413)-438-7493,2978 Cedar Blvd,Sacramento,NC,74291
CUST1112,James,Davis,1978-10-26,M,james.davis791@example.com,(918)-502-1638,155 Oak St,Columbus,MI,26748
CUST1450,Elizabeth,Davis,1954-01-13,M,elizabeth.davis722@example.com,(949)-562-6870,1631 Cedar Blvd,Austin,NC,98869
CUST1300,John,Williams,1948-06-13,F,john.williams730@example.com,(684)-227-9905,1162 Main St,Sacramento,OH,16229
CUST1111,Elizabeth,Martinez,1957-03-20,M,elizabeth.martinez311@example.com,(224)-779-8561,8358 Main St,Austin,FL,36069
CUST1104,Mary,Davis,1973-05-26,M,mary.davis847@example.com,(794)-753-3472,2839 Oak St,Austin,MI,86090
CUST1407,Jennifer,Jones,1988-11-08,F,jennifer.jones376@example.com,(909)-781-6622,6867 Maple Rd,Detroit,OH,23046
CUST1094,John,Williams,1947-02-03,F,john.williams328@example.com,(747)-422-1005,7589 Maple Rd,Miami,PA,10117
CUST1330,James,Davis,1979-03-06,M,james.davis673@example.com,(640)-393-1846,6416 Maple Rd,Chicago,PA,40105
CUST1360,Jennifer,Brown,1985-06-21,F,jennifer.brown212@example.com,(339)-758-3048,6333 Cedar Blvd,Miami,NY,30128
CUST1113,Jennifer,Johnson,1940-01-10,M,jennifer.johnson749@example.com,(371)-212-6287,1719 Main St,Chicago,GA,29216
CUST1311,William,Davis,1949-07-22,F,william.davis194@example.com,(780)-517-1235,2008 Pine Ave,Atlanta,TX,94555
CUST1040,John,Williams,1991-11-13,F,john.williams419@example.com,(771)-548-9007,9164 Cedar Blvd,New York,IL,25524
CUST1273,Robert,Williams,1940-03-18,F,robert.williams673@example.com,(331)-800-2065,2236 Oak St,Detroit,MI,85046
CUST1296,Linda,Williams,1961-05-14,F,linda.williams964@example.com,(222)-774-3190,9284 Main St,Sacramento,CA,21246
CUST1397,Michael,Johnson,1990-04-29,M,michael.johnson715@example.com,(303)-238-2970,8489 Pine Ave,Columbus,NY,34519
CUST1215,Elizabeth,Brown,1982-02-03,M,elizabeth.brown768@example.com,(488)-677-1922,519 Cedar Blvd,Philadelphia,GA,76656
CUST1164,Robert,Miller,1946-05-25,F,robert.miller295@example.com,(797)-721-5612,1965 Main St,Philadelphia,PA,65180
CUST1365,Patricia,Davis,1961-07-12,M,patricia.davis256@example.com,(847)-460-3371,2991 Cedar Blvd,Austin,NY,49666
CUST1187,Patricia,Brown,1942-03-04,M,patricia.brown382@example.com,(268)-859-7166,914 Oak St,Charlotte,MI,27368
CUST1137,James,Davis,1942-04-07,M,james.davis559@example.com,(555)-523-4876,6059 Oak St,Sacramento,NC,65176
CUST1434,Jennifer,Williams,1959-09-14,F,jennifer.williams395@example.com,(496)-925-2792,5832 Cedar Blvd,Charlotte,FL,29256
CUST1403,James,Garcia,1952-10-06,M,james.garcia760@example.com,(630)-508-9393,3607 Main St,Chicago,NC,23224
CUST1075,John,Brown,1986-04-29,F,john.brown174@example.com,(585)-409-9666,8709 Pine Ave,Sacramento,NY,77526
CUST1355,Patricia,Garcia,1994-08-21,F,patricia.garcia260@example.com,(376)-484-5757,2813 Maple Rd,Austin,IL,37696
CUST1056,Michael,Smith,1976-09-03,M,michael.smith788@example.com,(347)-829-9533,5282 Cedar Blvd,Detroit,CA,30806
CUST1217,James,Miller,1946-10-18,M,james.miller822@example.com,(517)-231-3717,4624 Cedar Blvd,Detroit,NY,28449
CUST1110,James,Williams,1982-07-13,F,james.williams293@example.com,(701)-312-6797,9238 Maple Rd,Sacramento,MI,22342
CUST1292,Michael,Williams,1975-10-31,F,michael.williams557@example.com,(361)-579-1054,7743 Oak St,Columbus,MI,86534
CUST1105,John,Davis,1969-03-31,M,john.davis427@example.com,(253)-960-4310,3400 Pine Ave,New York,CA,95595
CUST1306,Linda,Johnson,1961-10-27,F,linda.johnson187@example.com,(277)-487-3538,4647 Maple Rd,Chicago,PA,96925
CUST1458,Michael,Johnson,1956-11-02,F,michael.johnson874@example.com,(872)-350-5242,3795 Cedar Blvd,New York,FL,60460
CUST1298,Mary,Johnson,1967-09-08,M,mary.johnson808@example.com,(722)-945-2409,4666 Maple Rd,Miami,IL,43572
CUST1048,Jennifer,Martinez,1959-05-24,M,jennifer.martinez599@example.com,(705)-563-3679,2206 Main St,Austin,NY,37856
